date,da_vwap,m1_vwap
2026-08-09,54.5727,
2026-08-10,57.4668,57.6132
2026-08-11,61.0700,61.1625
2026-08-12,60.7471,60.8438
2026-08-13,,
2026-08-14,60.5752,60.8713
2026-08-15,61.2752,
2026-08-16,62.6239,
2026-08-17,62.1582,62.1765
2026-08-18,62.5130,62.4513
2026-08-19,63.5829,63.4375
2026-08-20,63.9125,63.7852
2026-08-21,65.8700,65.7960
2026-08-22,67.1364,
2026-08-23,66.4002,
2026-08-24,65.7531,65.7334
2026-08-25,68.1338,68.1082
2026-08-26,64.3095,64.2949
2026-08-27,65.3910,65.4571
2026-08-28,68.7915,69.0029
2026-08-29,64.4930,
2026-08-30,65.2155,
2026-08-31,68.4901,69.2180
2026-09-01,70.2536,70.5058
2026-09-02,73.6012,73.7730
2026-09-03,72.9201,73.0916
2026-09-04,71.4644,71.6689
2026-09-05,76.2308,
2026-09-06,75.7890,
2026-09-07,73.9430,74.0062
