date,DE_ecop,DE_gfsop,NL_ecop,NL_gfsop,UK_ecop,UK_gfsop
2026-09-05,19.7,19.7,12.74,12.74,52.84,52.84
2026-09-06,21.98,21.98,13.14,13.14,53.55,53.55
2026-09-07,21.87,21.87,12.37,12.37,53.28,53.28
2026-09-08,21.48,21.44,12.26,12.24,52.72,52.7
2026-09-09,20.33,20.17,12.97,12.96,52.78,52.77
2026-09-10,24.37,23.71,13.39,13.38,54.51,54.64
2026-09-11,27.61,25.31,13.87,13.81,56.55,56.85
2026-09-12,27.57,24.38,14.04,13.76,56.88,56.89
2026-09-13,26.55,23.87,13.98,13.49,58.05,58.4
2026-09-14,26.3,24.45,14.03,13.66,59.33,59.44
