date,LDZ,Industry,Regas,Production,Pipeline Imports,Demand,Supply,Balance
2026-08-17,13.72,104.01,34.0,7.41,104.19,117.73,145.6,27.87
2026-08-18,14.41,116.73,31.9,7.85,101.93,131.14000000000001,141.68,10.54
2026-08-19,14.77,112.11,28.4,7.46,90.26,126.88,126.12,-0.76
2026-08-20,15.59,105.96,30.0,7.32,102.38,121.55,139.7,18.15
2026-08-21,17.93,96.71,29.9,7.27,104.3,114.63999999999999,141.47,26.83
2026-08-22,20.7,81.22,29.6,7.11,107.06,101.92,143.77,41.85
2026-08-23,25.01,81.58,29.7,7.04,110.13,106.59,146.87,40.28
2026-08-24,25.57,101.01,30.7,7.06,110.8,126.58000000000001,148.56,21.98
2026-08-25,24.53,103.68,29.7,6.97,110.66,128.21,147.32999999999998,19.12
2026-08-26,24.92,102.87,29.6,6.92,106.49,127.79,143.01,15.22
