date,GFP,LDZ,Industry,Regas,Production,Pipeline Imports,Demand,Supply,Balance
2026-08-16,22.97,11.13,17.54,67.8,24.7,-1.85,51.64,90.65,39.01
2026-08-17,33.85,11.72,18.27,69.4,25.6,13.37,63.84,108.37,44.53
2026-08-18,22.87,11.72,19.32,58.3,24.75,9.83,53.910000000000004,92.88,38.97
2026-08-19,28.87,11.57,18.84,62.0,24.47,-2.61,59.28,83.86,24.58
2026-08-20,24.1,12.27,18.37,62.1,24.41,-5.35,54.74000000000001,81.16000000000001,26.42
2026-08-21,24.58,12.99,17.96,62.7,24.1,-4.91,55.53,81.89000000000001,26.36
2026-08-22,14.71,13.63,17.59,62.2,24.18,-8.09,45.93000000000001,78.28999999999999,32.36
2026-08-23,13.58,13.91,17.37,62.3,23.98,-4.97,44.86,81.31,36.45
2026-08-24,16.25,14.08,17.79,64.7,24.55,-2.97,48.12,86.28,38.16
2026-08-25,13.03,14.2,17.91,65.5,24.45,-4.16,45.14,85.79,40.65
