date,GFP,LDZ,Industry,Regas,Production,Pipeline Imports,Demand,Supply,Balance
2026-08-11,27.78,49.69,1.86,8.0,73.1,-3.06,79.33,78.03999999999999,-1.29
2026-08-12,41.25,49.77,2.79,8.1,71.47,2.61,93.81000000000002,82.17999999999999,-11.63
2026-08-13,43.42,47.45,3.12,8.0,69.92,0.38,93.99000000000001,78.3,-15.69
2026-08-14,47.98,44.33,2.5,5.2,67.81,8.77,94.81,81.78,-13.03
2026-08-15,18.93,42.44,2.33,5.5,64.88,8.4,63.699999999999996,78.78,15.08
2026-08-16,24.58,42.51,2.16,5.7,63.25,8.67,69.25,77.62,8.37
2026-08-17,41.82,43.02,2.23,6.0,63.54,6.69,87.07000000000001,76.22999999999999,-10.84
2026-08-18,19.03,43.23,2.23,6.1,63.9,5.53,64.49,75.53,11.04
2026-08-19,21.21,44.34,2.33,6.3,64.97,2.72,67.88000000000001,73.99,6.11
2026-08-20,27.89,46.9,2.39,6.8,65.14,-2.03,77.17999999999999,69.91,-7.27
