date,DE,NL,UK,DE_horizon,NL_horizon,UK_horizon
2026-08-11,41.54,50.69,4.54,1,-1,-1
2026-08-12,42.51,45.95,0.61,2,0,0
2026-08-13,48.05,44.44,0.46,3,1,1
2026-08-14,59.61,46.36,6.39,4,2,2
2026-08-15,87.74,49.59,21.91,5,3,3
2026-08-16,89.11,48.69,19.39,6,4,4
2026-08-17,55.22,38.97,10.22,7,5,5
2026-08-18,52.87,36.66,10.52,8,6,6
2026-08-19,56.49,35.64,6.7,9,7,7
2026-08-20,58.88,34.23,3.47,10,8,8
2026-08-21,65.55,36.5,1.15,11,9,9
2026-08-22,89.83,39.19,21.09,12,10,10
2026-08-23,79.78,34.46,20.36,13,11,11
